business_key,archetype,as_of,buffer_days,net_margin_90d,revenue_growth_30d,expense_growth_30d,supplier_cost_growth_30d,recurring_share,collection_days,collection_days_trend,overdue_receivables_ratio,top_customer_share,top_supplier_share,cashflow_volatility,cash_trend_30d,scheduled_obligations_ratio,seasonal_index_next_30d,txn_frequency_change,label
S0000,retail_shop,2023-05-01,16.63122388410821,-0.0008088867228007335,0.18223734234210176,-0.019180590400107334,-0.07241543331618072,0.332583699886255,35.449244260599016,-1.6385361465939852,0.028627784094325964,0.13194045415750444,0.37712584376626895,0.5663927152040544,-0.008483671691272239,0.332583699886255,1.0,0.0,0
S0000,retail_shop,2023-05-15,24.58587504966981,0.06525578319297112,0.049748361805009855,-0.05063031814502761,-0.05491835489053054,0.3353885588158662,35.50423638208033,-0.2336373757339274,0.03130019414085486,0.15832030198788652,0.3752205484642408,0.48061950833042477,0.030123440514559632,0.33538855881586627,1.0,-0.0181818181818183,0
S0000,retail_shop,2023-05-29,21.248565446803173,0.09607592964375788,0.09747060885666814,-0.08894644071734581,-0.12184556013590586,0.3220904195558959,35.59573177371012,0.5587289913952063,0.008484162210795657,0.1437752902885056,0.3722447384574931,0.6133226919078756,0.10103259182102407,0.3220904195558959,1.0,-0.010309278350515538,0
S0000,retail_shop,2023-06-12,23.34687434276446,0.06188350632757904,0.135350200273626,-0.09560076406174145,-0.1355393935984347,0.32292066730693897,35.66165006048624,0.5817116335234189,0.2034953567872838,0.13190969118830126,0.3671920489043789,0.5340542542167055,0.14015340411196525,0.32292066730693897,1.0,0.0025706940874037354,0
S0000,retail_shop,2023-06-26,26.348652137098163,0.11251744993755756,-0.01123646012034063,-0.05906894616049163,-0.08240407612747358,0.31822408981991546,37.123164934581176,2.4674195082944053,0.029011261079564338,0.1504254263548875,0.36073612140101574,0.6297662060127459,0.045984149234288285,0.4488051433311428,1.0,-0.0128534704370179,0
S0000,retail_shop,2023-07-10,20.060114014162185,0.08519133475402153,-0.03464604079788636,-0.0030677704011125018,-0.04041584253236363,0.31486521177947785,37.496787012145,2.5263528793163843,0.2058339640894524,0.14552056875896446,0.3619352549067422,0.6312042678064782,-0.06165095145712284,0.44241141613848045,1.0,-0.007692307692307665,0
S0000,retail_shop,2023-07-24,20.96318670096808,0.0677305909846517,-0.007965323202734131,0.0405732566569903,-0.03686802897547414,0.30195247036521145,37.638142242245024,2.25722527309199,0.005526281024472427,0.16509023907846918,0.36098338842569744,0.7386290629700927,-0.23053434332020697,0.30195247036521145,1.0,0.03367875647668406,0
S0000,retail_shop,2023-08-07,17.38809853350037,0.07071967078323375,-0.006927466988036479,-0.06963889440296989,-0.05731262520433211,0.3018210822915686,37.44576833488462,2.5822232144997983,0.16135954609487135,0.1629464678903033,0.3710623833483341,0.6991278414660836,-0.024783565747488474,0.3018210822915686,1.0,-0.005141388174807138,1
S0000,retail_shop,2023-08-21,23.349373689033115,0.047617653236029164,-0.03251282899492014,-0.061945112419394044,-0.05943478507736155,0.29796302279321607,36.54410698933318,-1.0615612847741787,0.02698235730626121,0.1638482327160909,0.37176767500995306,0.6993748822356648,0.14751165065379082,0.29796302279321607,1.0,-0.025575447570332588,1
S0000,retail_shop,2023-09-04,15.87841196878843,0.03883260562564658,-0.025849406369396366,-0.05016846944442788,-0.045534125763840194,0.29371834098807587,37.172145019212074,-1.2284149504075614,0.02697235657184553,0.16204318940369122,0.37427164609472335,0.7045320384827337,0.0021400697690147344,0.2937183409880758,1.0,-0.05102040816326525,0
